Nazwa aplikacji;Nazwa firmy;Koszty;Kraj;Wersje aplikacji;Data;ImiÍ;P≥ÍÊ;Przedrostek;Stanowisko
Subin;Pixonyx;$8754.83;Kyrgyzstan;sie.94;07.11.2021;Lotty;Female;II;Product Engineer
Otcom;Skyble;$8140.87;Russia;cze.85;08.07.2016;Sam;Male;II;Professor
Biodex;Voonte;$9642.91;Indonesia;cze.92;11/27/2018;Marcos;Male;IV;Project Manager
Alpha;Jaxworks;$9362.28;Indonesia;maj.84;09.07.2018;Kalil;Male;IV;Human Resources Manager
Span;Yakidoo;$7341.82;Israel;0.3.3;12/31/2014;Asher;Male;III;Paralegal
Bigtax;Rooxo;$6140.12;Russia;2.0.0;10.06.2020;Jerad;Male;III;Project Manager
Bytecard;Midel;$9090.83;Indonesia;03.maj;1/24/2017;Cody;Female;III;Programmer Analyst II
Home Ing;Plajo;$6488.85;Bolivia;07.kwi;7/18/2018;Dawna;Female;IV;Director of Sales
Bitchip;Oyope;$9744.63;Poland;0.6.3;11.09.2017;Sheppard;Male;II;Chief Design Engineer
Lotstring;Fiveclub;$8357.51;China;0.77;12.09.2017;Harland;Male;IV;Senior Quality Engineer
Sub-Ex;Trunyx;$6701.26;Indonesia;02.03.2000;1/26/2022;Ricoriki;Male;Jr;Dental Hygienist
Zathin;Jamia;$7536.42;Indonesia;04.lip;12/31/2019;Dukey;Male;II;Pharmacist
Stim;Oyonder;$9192.32;Japan;0.5.2;10/15/2021;Kaitlyn;Female;Sr;Graphic Designer
Daltfresh;Feedmix;$6776.39;Belarus;08.01.2000;11.05.2016;Serene;Female;IV;Social Worker
Tres-Zap;Zoomcast;$7351.10;Lithuania;01.lut;5/27/2021;Darcee;Female;III;Media Manager III
Y-find;Thoughtbeat;$8646.56;China;08.01.2006;12.03.2016;Justinian;Male;Sr;Information Systems Manager
Voyatouch;Brainsphere;$6903.79;Sweden;05.06.2006;6/20/2020;Malcolm;Male;III;Information Systems Manager
Vagram;Mita;$9534.31;China;07.lut;01.03.2020;Giovanni;Male;IV;Sales Representative
Konklab;Aivee;$8442.32;Philippines;06.lip;02.08.2015;Helyn;Female;Jr;Food Chemist
Hatity;Kwideo;$9310.58;Russia;0.53;10/21/2022;Violante;Female;IV;Web Developer II
Holdlamis;Izio;$6560.64;Portugal;06.09.2003;4/13/2018;Rene;Female;Sr;Software Consultant
Solarbreeze;BlogXS;$7273.64;Ireland;0.5.9;1/26/2018;Tedra;Female;Jr;Cost Accountant
Opela;Ozu;$9018.50;Honduras;0.88;9/26/2022;Chariot;Male;II;Accounting Assistant III
Opela;Kanoodle;$7208.24;United States;0.61;3/15/2019;Reeta;Female;Sr;Senior Editor
Bytecard;Livepath;$7679.44;Russia;0.98;02.03.2020;Chanda;Female;III;Structural Engineer
Regrant;Livetube;$9649.75;Brazil;0.99;02.10.2021;Rawley;Male;III;Chemical Engineer
Ventosanzap;Thoughtmix;$9873.72;China;0.2.4;07.04.2017;Stewart;Male;II;Office Assistant IV
Asoka;Realfire;$8205.27;Ukraine;03.07.2002;4/16/2022;Cherey;Female;II;Account Representative I
Tampflex;Tagchat;$9829.57;Russia;0.7.5;12/27/2018;Kristy;Female;Jr;Safety Technician IV
Zaam-Dox;Photolist;$8713.57;Japan;04.cze;3/15/2021;Addie;Male;II;Systems Administrator I
Alphazap;Oyonder;$6243.45;China;0.4.0;8/14/2015;Aldous;Male;II;Assistant Manager
Home Ing;Brightdog;$8693.62;Philippines;08.09.2006;8/30/2016;Jory;Male;Jr;Financial Advisor
Job;Babbleblab;$9699.77;Morocco;0.65;05.07.2020;Griffie;Male;IV;Web Developer II
Konklab;Realblab;$9083.97;Ukraine;0.9.8;2/23/2019;Cyrille;Male;III;Operator
Lotstring;Yata;$6784.16;Japan;0.9.9;02.12.2015;Phelia;Female;Jr;Senior Sales Associate
Domainer;Trupe;$6511.42;South Africa;sie.34;6/16/2016;Nolan;Male;III;Software Engineer I
Prodder;Shufflester;$8065.26;Russia;0.40;4/26/2021;Israel;Male;Sr;Data Coordiator
Konklab;Twimbo;$9192.40;Colombia;08.04.2001;4/22/2016;Gianna;Female;IV;Account Representative III
Fixflex;Kwimbee;$9176.53;China;0.6.2;02.02.2015;Hulda;Female;Sr;Developer III
Transcof;Wordify;$8204.10;Ukraine;03.08.2003;05.11.2016;Baxter;Male;III;Programmer II
Sub-Ex;Thoughtblab;$9752.68;Brazil;08.wrz;5/24/2019;Granthem;Male;II;Senior Quality Engineer
Pannier;Mita;$8434.92;Sweden;0.10;1/20/2019;Fleur;Female;IV;Librarian
Transcof;Jabbersphere;$7060.60;France;0.2.4;06.09.2020;Harbert;Male;IV;Marketing Assistant
Span;Gabspot;$7131.52;China;wrz.66;9/21/2015;Catlin;Female;IV;Chief Design Engineer
Otcom;Rhynoodle;$8457.43;Tajikistan;08.sty;3/13/2021;Justinian;Male;II;Automation Specialist I
Hatity;Plajo;$6977.70;Honduras;0.5.8;10.07.2019;Melvin;Male;IV;Software Consultant
Regrant;JumpXS;$7902.81;Cuba;07.07.2007;04.06.2015;Ashlee;Female;II;Speech Pathologist
Prodder;Edgeblab;$9367.51;Philippines;0.1.3;5/27/2018;Hillie;Male;III;Occupational Therapist
Zamit;Realpoint;$9238.78;China;01.kwi;05.02.2015;Pauli;Female;II;Business Systems Development Analyst
Y-Solowarm;Meevee;$9262.80;France;wrz.33;10.11.2018;Dara;Female;IV;Media Manager IV
Bitchip;Dynava;$9153.11;Cameroon;0.98;10.03.2020;Eachelle;Female;II;Community Outreach Specialist
Tin;Mudo;$9180.38;China;09.09.2009;1/24/2021;Grantham;Male;II;Budget/Accounting Analyst I
Mat Lam Tam;Photobug;$7813.49;Colombia;maj.51;1/21/2021;Evelyn;Male;IV;Information Systems Manager
Zamit;Rhycero;$8516.51;Indonesia;08.09.2002;7/15/2021;Astrix;Female;III;Assistant Media Planner
Greenlam;Photobug;$7727.78;Indonesia;02.09.2008;5/21/2020;Lethia;Female;III;Administrative Assistant III
Quo Lux;Twitterwire;$7950.48;Indonesia;02.lut;05.03.2022;Jojo;Female;Sr;Data Coordiator
Zamit;Tambee;$9077.43;Jamaica;0.5.3;2/13/2018;Morton;Male;III;Social Worker
Solarbreeze;Divape;$8994.90;Poland;0.33;12.01.2014;Cynde;Female;IV;Internal Auditor
Redhold;Riffwire;$6978.16;Ecuador;2.0;1/13/2015;Aurora;Female;Jr;Quality Control Specialist
Holdlamis;Tagopia;$8521.13;China;03.sie;10/25/2017;Edeline;Female;Sr;Structural Engineer
Zontrax;Snaptags;$6557.18;Tunisia;03.cze;2/26/2019;Hartley;Male;IV;Help Desk Technician
Trippledex;Browsedrive;$6905.03;Belarus;02.08.2006;5/16/2016;Nolana;Female;Jr;Business Systems Development Analyst
Treeflex;Lazzy;$8536.71;Indonesia;0.4.3;12.06.2016;Miranda;Female;IV;Senior Editor
Bytecard;Tagfeed;$6192.10;Netherlands;03.02.2000;8/14/2019;Perla;Female;Sr;Associate Professor
Y-Solowarm;Demimbu;$8568.37;South Africa;0.6.7;9/17/2020;Tabby;Female;III;Recruiter
Stim;Photobean;$9524.10;Czech Republic;06.mar;7/26/2019;Caralie;Female;III;Help Desk Technician
Aerified;Topicblab;$6453.71;Nigeria;06.07.2002;6/26/2015;Abbie;Female;III;Dental Hygienist
Voyatouch;Yodel;$7722.94;Portugal;01.07.2003;1/21/2020;Caryl;Male;III;VP Quality Control
Voyatouch;Voolia;$6018.88;Indonesia;0.39;9/15/2020;Shane;Male;Sr;Speech Pathologist
Stim;Wikivu;$7651.22;Ivory Coast;wrz.78;2/20/2016;Andreas;Male;Sr;Nurse
Toughjoyfax;Roomm;$7312.28;Indonesia;0.8.0;9/14/2016;Bartolemo;Male;IV;Cost Accountant
Redhold;Divanoodle;$9631.43;Canada;maj.17;02.04.2020;Vivian;Female;IV;Safety Technician II
Bitchip;Skippad;$7342.05;Poland;6.0;01.08.2022;Reinaldos;Male;Sr;Technical Writer
Tin;Jabberstorm;$7868.32;Gabon;02.07.2008;2/16/2022;Reube;Male;II;Budget/Accounting Analyst III
Cookley;Meetz;$7936.13;Austria;04.lip;11/24/2019;Madeleine;Female;IV;Analog Circuit Design manager
Viva;Pixoboo;$7724.01;Philippines;0.1.1;6/13/2022;Michelle;Female;Sr;Professor
Duobam;Buzzbean;$8689.19;Sweden;0.11;02.09.2019;Mirna;Female;III;Computer Systems Analyst II
Zontrax;Centidel;$6416.96;Norway;0.99;10.06.2018;Virginie;Female;IV;Electrical Engineer
Bitwolf;Skynoodle;$9036.11;Poland;08.04.2002;09.04.2020;Dulcine;Female;II;Compensation Analyst
Sub-Ex;Tekfly;$9297.08;Mexico;0.80;7/14/2017;Edin;Female;III;Marketing Manager
Treeflex;Einti;$6912.42;Sweden;09.cze;1/21/2020;Wake;Male;Sr;Budget/Accounting Analyst III
Namfix;Twitterbridge;$8983.31;Cyprus;0.97;7/15/2021;Alexandra;Female;Sr;Research Nurse
Konklux;Vipe;$8618.33;China;06.lut;3/18/2022;Hilda;Female;III;Operator
Hatity;Edgeclub;$7526.35;Indonesia;mar.46;4/18/2020;Sheffie;Male;Sr;Professor
Ventosanzap;Tagpad;$6741.02;Indonesia;lip.16;04.01.2021;Haskel;Male;II;Environmental Tech
Sonsing;Kwinu;$6736.82;China;sie.57;8/19/2022;Arvin;Male;IV;Social Worker
Mat Lam Tam;Eimbee;$8889.50;Tajikistan;0.5.3;01.01.2019;Dur;Male;IV;Engineer I
Flowdesk;Yabox;$7205.68;China;03.wrz;11/27/2017;Dorothy;Female;II;Design Engineer
Cardguard;Fadeo;$8850.31;Philippines;08.01.2008;03.12.2018;Nevin;Male;Jr;Programmer I
Tin;Quimba;$9177.28;Philippines;0.13;2/14/2016;Donnajean;Female;Jr;Quality Engineer
Span;Tekfly;$9492.24;Brazil;sty.92;2/13/2019;Nehemiah;Male;II;Actuary
Latlux;Vimbo;$6220.72;China;0.87;08.12.2021;Killian;Male;III;Environmental Tech
Ronstring;Voonte;$8250.59;Czech Republic;0.1.4;2/14/2015;Carey;Male;II;Librarian
Latlux;Bluejam;$7349.82;Croatia;cze.73;4/18/2021;Jackie;Male;IV;Senior Developer
Solarbreeze;Oodoo;$7599.69;China;mar.62;08.03.2016;Bendick;Male;Jr;VP Quality Control
Mat Lam Tam;Gigaclub;$6332.64;Finland;07.wrz;3/17/2020;Erinn;Female;IV;Biostatistician IV
Andalax;Dabvine;$7498.63;Indonesia;sie.30;8/15/2017;Cass;Female;Sr;Systems Administrator III
Stim;Oyonder;$7607.91;Colombia;0.99;3/25/2019;Lacee;Female;III;Social Worker
Y-find;Dabjam;$6004.42;Burkina Faso;0.18;02.01.2019;Carlynne;Female;Sr;Senior Developer
Asoka;Yodoo;$8893.61;Colombia;01.kwi;3/28/2016;Durand;Male;III;Business Systems Development Analyst
Flexidy;Skinte;$6467.60;Poland;9.00;08.04.2015;Jolee;Female;IV;Research Nurse
Y-Solowarm;Meezzy;$7373.57;Poland;08.09.2002;8/31/2018;Anselma;Female;Jr;Chief Design Engineer
Alphazap;Yoveo;$7880.29;Philippines;06.07.2009;12/20/2018;Birk;Male;Jr;Systems Administrator III
Pannier;Oodoo;$8374.19;Russia;07.07.2003;12.09.2017;Haze;Male;IV;Programmer II
Zoolab;Babbleblab;$6898.28;Japan;cze.28;12/28/2015;Lizabeth;Female;Jr;Legal Assistant
Bitwolf;Topicware;$9380.94;Thailand;0.76;05.04.2015;Ilario;Male;II;Registered Nurse
Vagram;Trupe;$9742.01;Philippines;0.70;04.07.2016;Kent;Male;III;Human Resources Assistant I
Zoolab;Gabtype;$7566.31;Philippines;02.01.2003;6/26/2016;Mic;Male;IV;Staff Accountant III
Sub-Ex;Leenti;$9964.53;Brazil;01.mar;1/22/2017;Mable;Female;Sr;Marketing Manager
Aerified;Meeveo;$9967.29;China;cze.87;02.05.2021;Guenevere;Female;III;Quality Control Specialist
Konklux;Youfeed;$9894.18;China;sty.95;3/13/2016;Terza;Female;Jr;Quality Engineer
Domainer;Ntags;$7179.38;China;0.19;11.04.2015;Brian;Male;IV;Project Manager
Tempsoft;Midel;$8247.11;Argentina;07.07.2004;01.09.2018;Newton;Male;IV;Administrative Assistant II
Stronghold;Miboo;$8299.73;Russia;0.86;11.07.2016;Catlee;Female;Sr;Social Worker
Quo Lux;Kazio;$7248.63;Peru;0.2.4;06.10.2015;Sharyl;Female;II;Cost Accountant
Y-Solowarm;Riffpedia;$8930.07;Sweden;02.09.2000;1/28/2018;Elonore;Female;II;Technical Writer
Prodder;Kazio;$8489.24;Honduras;05.05.2006;7/14/2020;Liuka;Female;III;Staff Accountant III
Namfix;Photofeed;$8056.10;China;05.sty;11.07.2017;Ailyn;Female;III;Human Resources Assistant I
Overhold;Kanoodle;$8289.47;Georgia;0.1.6;09.07.2021;Georgeanne;Female;III;Engineer II
Latlux;Dablist;$7175.52;China;7.0.5;02.09.2021;Fawnia;Female;III;Engineer III
Tin;Riffpath;$7679.18;China;09.sie;1/17/2020;Kerrin;Female;IV;Computer Systems Analyst III
It;Twitterbridge;$9586.04;Poland;0.84;09.07.2017;Ignacius;Male;Sr;Chief Design Engineer
Tres-Zap;Kare;$7131.21;Czech Republic;0.14;12.07.2016;Maitilde;Female;Sr;Marketing Assistant
Zoolab;Katz;$9157.64;France;03.paü;04.10.2019;Emilie;Female;II;Sales Representative
Sonair;Leexo;$6853.47;Mexico;0.3.9;12/29/2018;Jennee;Female;Sr;Desktop Support Technician
Subin;Kwimbee;$6726.30;Croatia;maj.31;9/21/2021;Trudi;Female;III;Paralegal
Tampflex;Gigazoom;$7817.76;Portugal;0.73;01.07.2021;Enos;Male;Sr;Business Systems Development Analyst
Sub-Ex;Skibox;$7711.52;Thailand;0.39;7/24/2022;Neill;Male;II;Developer I
Bitchip;Aimbu;$7543.65;Indonesia;02.05.2004;10/25/2016;Karlotta;Female;IV;Media Manager I
Asoka;Flipopia;$6617.55;Russia;sty.59;2/23/2022;Francine;Female;Jr;Assistant Professor
Tin;Topicblab;$7230.48;Peru;maj.13;4/17/2022;Clari;Female;III;Computer Systems Analyst II
Hatity;Cogidoo;$7891.50;China;0.36;3/24/2015;Siffre;Male;III;Project Manager
Cookley;Oloo;$9005.70;Uganda;0.37;2/22/2021;Phil;Female;Sr;Marketing Assistant
Alphazap;Rhyzio;$6102.37;Myanmar;02.wrz;04.04.2018;Noll;Male;Sr;Clinical Specialist
Ronstring;Tazzy;$9880.46;Japan;0.66;08.08.2018;Temp;Male;IV;Web Developer III
Voltsillam;Twinte;$6021.78;Portugal;03.mar;4/16/2015;Saxe;Male;II;Senior Quality Engineer
Ventosanzap;Zoombeat;$6648.16;Ukraine;0.3.0;9/24/2021;Jasmine;Female;IV;Programmer Analyst IV
Cookley;Jabbersphere;$6312.66;France;mar.58;11.12.2015;Bibby;Female;Jr;Community Outreach Specialist
Redhold;Katz;$6213.68;China;7.0;10/31/2019;Gardie;Male;III;Health Coach II
Subin;Thoughtstorm;$6067.44;Indonesia;09.09.2007;07.04.2022;Eva;Female;III;Health Coach I
Holdlamis;Skimia;$9410.93;Indonesia;0.7.1;05.08.2019;Yoko;Female;II;Nurse
Lotstring;Jaloo;$9767.16;Greece;0.2.3;10/26/2019;Stephan;Male;Jr;Sales Representative
Hatity;Twitterbridge;$8877.17;Indonesia;01.lip;12.07.2014;Chrissy;Female;II;Senior Editor
Matsoft;Flashset;$6755.05;Slovenia;0.4.7;6/29/2016;Udell;Male;Sr;Administrative Assistant II
Veribet;Centizu;$7148.14;Mongolia;0.77;1/15/2015;Christy;Male;IV;Clinical Specialist
Bitwolf;Gabvine;$6995.25;Ukraine;03.09.2004;01.10.2017;Riobard;Male;IV;Financial Advisor
Daltfresh;Jayo;$9224.98;Guatemala;0.1.7;11/20/2014;Kelvin;Male;III;Database Administrator III
Zoolab;Bluezoom;$6825.89;Macedonia;0.4.8;1/15/2018;Ruby;Male;IV;VP Marketing
Subin;Fanoodle;$9011.68;Sweden;8.0.0;7/31/2020;Thibaud;Male;III;Web Developer IV
Zoolab;Thoughtworks;$6341.34;Afghanistan;lip.91;07.09.2016;Henrieta;Female;IV;Teacher
Zoolab;Zoonder;$9354.13;Indonesia;01.sie;1/30/2016;Lawry;Male;IV;Legal Assistant
Cardguard;Oba;$8243.71;Kazakhstan;cze.57;11/30/2019;Renault;Male;III;Librarian
Sonsing;Edgeblab;$6198.60;China;0.26;8/20/2022;Ring;Male;II;Junior Executive
Transcof;Yamia;$9342.75;Portugal;06.04.2001;11/14/2022;Nicolea;Female;IV;Help Desk Operator
Ventosanzap;Layo;$9846.72;France;lut.76;7/18/2020;Darby;Female;Sr;Account Executive
Opela;Podcat;$9087.68;France;0.6.4;2/15/2016;Alidia;Female;IV;Nuclear Power Engineer
Stronghold;Rhybox;$9990.14;Colombia;cze.41;8/31/2018;Lief;Male;Sr;Paralegal
Quo Lux;Zazio;$9939.21;China;08.wrz;10.09.2022;Maible;Female;IV;VP Marketing
Cardify;Oyonder;$7184.77;Ukraine;0.3.8;12/22/2015;Werner;Male;IV;Quality Engineer
Otcom;Avaveo;$8946.83;China;sie.27;8/22/2018;Olag;Male;II;Financial Advisor
Home Ing;Avamm;$6438.56;China;03.07.2000;3/18/2019;Ashlie;Female;Sr;Senior Developer
Greenlam;Yambee;$7830.75;China;0.75;5/14/2020;Heindrick;Male;Sr;Physical Therapy Assistant
Bitchip;Twitterlist;$8358.04;Czech Republic;01.lut;8/26/2015;Jilleen;Female;IV;Software Engineer IV
Keylex;Mynte;$7235.41;New Caledonia;09.03.2006;1/17/2019;Yardley;Male;III;Speech Pathologist
Bamity;LiveZ;$6686.55;Sweden;08.cze;10.01.2015;Isac;Male;II;Geologist I
Flowdesk;Photobug;$6577.50;Philippines;08.lut;01.10.2021;Lilli;Female;II;Marketing Manager
Latlux;Linklinks;$9173.41;Palestinian Territory;0.7.9;12.10.2020;Thorny;Male;Sr;Operator
Voltsillam;Kayveo;$7728.82;Algeria;cze.42;4/16/2017;Claudelle;Female;IV;Nurse
Otcom;Twinte;$6499.14;Ukraine;01.09.2002;10/27/2018;Lilllie;Female;Jr;Computer Systems Analyst II
Bigtax;Skivee;$8321.06;Philippines;09.02.2001;4/23/2020;Demetri;Male;III;Civil Engineer
Fintone;Yodel;$7617.51;Sweden;3.0.8;7/19/2022;Daniella;Female;II;Senior Sales Associate
Wrapsafe;Twitterlist;$9978.32;Canada;01.02.2005;09.01.2018;Gerek;Male;IV;Assistant Professor
Sub-Ex;Yodel;$6454.99;Indonesia;09.maj;04.03.2016;Myrilla;Female;Sr;VP Quality Control
Fintone;Feedbug;$6525.13;China;05.mar;5/22/2017;Isabel;Female;II;Research Nurse
Temp;Dynazzy;$7365.21;Czech Republic;0.81;1/23/2019;Bridie;Female;III;Payment Adjustment Coordinator
Duobam;Rhynyx;$9152.35;Bolivia;0.41;7/26/2015;Elwin;Male;II;Business Systems Development Analyst
Kanlam;Jayo;$6873.64;Nepal;lip.59;01.01.2020;Royall;Male;III;Budget/Accounting Analyst I
Zaam-Dox;Chatterpoint;$7109.72;China;0.53;08.09.2022;Temp;Male;III;Design Engineer
Greenlam;Zava;$6165.37;China;06.maj;5/20/2022;Harmon;Male;Jr;Administrative Assistant I
Zamit;Roodel;$6856.23;Portugal;0.5.6;11.01.2015;Abbie;Male;IV;Marketing Manager
Y-Solowarm;Voomm;$8530.27;Brazil;08.03.2003;5/17/2019;Keriann;Female;Jr;Help Desk Operator
Ventosanzap;Thoughtbeat;$6022.86;China;04.08.2003;01.01.2021;Giff;Male;Jr;Paralegal
Tin;Thoughtbeat;$8182.34;Poland;0.59;11.04.2021;Donall;Male;IV;Engineer III
Tempsoft;Yodoo;$6152.18;Philippines;0.17;06.03.2015;Tracie;Female;Jr;Desktop Support Technician
Rank;Gigaclub;$8926.14;Poland;07.lip;6/19/2021;Flora;Female;II;VP Quality Control
Viva;Gabtype;$9399.72;United States;0.3.8;09.12.2018;Goddard;Male;II;Assistant Professor
Ronstring;Vitz;$8568.16;Indonesia;0.32;2/29/2016;Marcelia;Female;II;Graphic Designer
Zathin;Demizz;$8284.48;Philippines;04.08.2003;01.09.2020;Otho;Male;III;Operator
Rank;Wikibox;$9937.99;China;0.2.2;3/17/2015;Lyn;Male;II;Librarian
Job;Linkbridge;$6466.14;Uganda;0.85;08.01.2015;Lancelot;Male;III;Software Consultant
Bytecard;Ooba;$8349.57;Indonesia;0.3.5;03.10.2022;Eimile;Female;IV;Environmental Tech
Hatity;Einti;$6056.58;Portugal;07.wrz;3/28/2017;Noella;Female;Jr;Office Assistant III
Tampflex;Vitz;$8878.24;Sweden;02.wrz;05.06.2019;Nahum;Male;Jr;Assistant Media Planner
Y-Solowarm;Browsecat;$8980.25;Iraq;0.22;06.07.2019;Lian;Female;Sr;Structural Engineer
Wrapsafe;Aibox;$6623.59;Russia;03.09.2007;9/20/2022;Chris;Male;III;Assistant Media Planner
Biodex;Youspan;$8202.67;China;05.sie;12/27/2014;Darby;Male;II;Staff Scientist
Sonsing;Ainyx;$8697.15;Canada;06.lip;08.02.2018;Desmund;Male;II;Cost Accountant
Zaam-Dox;Mycat;$7178.84;Philippines;sie.97;10/16/2015;Dean;Male;III;Senior Sales Associate
Treeflex;Browsedrive;$7744.38;Egypt;05.08.2008;09.10.2019;Judon;Male;II;Financial Analyst
Overhold;Minyx;$9247.46;Argentina;06.08.2005;7/22/2022;Hollis;Male;Jr;Teacher
Bamity;Thoughtstorm;$6795.41;Brazil;0.7.9;12.09.2016;El;Male;III;Paralegal
Wrapsafe;Buzzbean;$7557.26;Togo;0.6.5;5/18/2015;Shaylynn;Female;Sr;Web Developer IV
Mat Lam Tam;Dynava;$7760.55;Russia;0.65;11.04.2018;Bancroft;Male;II;Nurse
Tres-Zap;Devshare;$9139.81;Serbia;0.9.2;11.08.2015;Nolie;Female;III;Software Test Engineer I
Bytecard;Trilia;$6314.67;Indonesia;04.kwi;10/14/2018;Ronna;Female;IV;Marketing Manager
Cookley;Flashset;$8585.85;Mozambique;07.03.2003;07.04.2022;Ethe;Male;II;Senior Quality Engineer
Lotlux;Ntag;$9199.17;Japan;0.8.7;1/29/2022;Drake;Male;Sr;Software Engineer III
Ronstring;Thoughtmix;$8393.17;China;06.01.2003;1/18/2019;Krystalle;Female;II;VP Product Management
Daltfresh;Tagfeed;$6055.12;Palestinian Territory;0.97;11/13/2019;Dorian;Female;Sr;Marketing Manager
Lotstring;Eamia;$7050.07;China;0.19;6/22/2015;Frannie;Male;Jr;Administrative Assistant IV
Duobam;Skippad;$8450.04;Turkmenistan;05.cze;1/30/2017;Ruthann;Female;III;Dental Hygienist
Keylex;Skajo;$6998.73;Indonesia;0.73;09.04.2021;Shay;Male;Jr;Research Associate
Ventosanzap;Jaloo;$9020.73;Germany;07.kwi;03.11.2018;Selle;Female;Sr;Analog Circuit Design manager
Opela;Twinte;$7823.07;South Korea;09.paü;11/23/2016;Michal;Female;Jr;Nuclear Power Engineer
Fintone;Tagchat;$7153.44;China;5.0;11/27/2021;Mathilda;Female;II;Business Systems Development Analyst
Fix San;Realcube;$8457.28;Canada;0.59;04.07.2019;Beniamino;Male;Jr;Quality Control Specialist
Fix San;Rhybox;$8219.79;China;mar.91;12/23/2014;Milka;Female;II;VP Product Management
Greenlam;Avamba;$8670.60;Philippines;0.29;2/26/2020;Fraser;Male;III;Human Resources Assistant IV
Kanlam;Voonder;$9018.52;Peru;lut.64;8/18/2022;Michaeline;Female;Jr;VP Marketing
Mat Lam Tam;Geba;$9342.66;China;0.23;3/28/2018;Artemis;Male;Jr;Staff Scientist
Andalax;Yozio;$7811.01;China;05.09.2008;10/14/2021;Serge;Male;IV;Junior Executive
Rank;Realfire;$7327.15;Finland;0.6.0;09.11.2020;Biron;Male;IV;Human Resources Manager
Flexidy;Brainlounge;$8945.75;Portugal;06.03.2008;7/19/2019;Kylynn;Female;Jr;Data Coordiator
Lotstring;Photobug;$9682.36;Russia;0.1.9;06.09.2021;Blanch;Female;II;Registered Nurse
Fintone;Mynte;$9549.59;Sweden;mar.59;2/21/2018;Sande;Female;Jr;Accountant III
Zoolab;Teklist;$9524.56;Indonesia;09.08.2007;10/31/2016;Jobyna;Female;Jr;Account Representative IV
Mat Lam Tam;Divavu;$6581.78;Philippines;07.sie;2/23/2019;Yoshi;Female;Jr;Software Engineer II
Gembucket;Innojam;$8456.81;Serbia;lut.49;11/19/2021;Lincoln;Male;Sr;Professor
Treeflex;Shuffletag;$6623.45;Russia;09.sie;10/18/2017;Marilee;Female;Jr;Clinical Specialist
Stringtough;Camido;$6490.06;Indonesia;06.05.2005;12.07.2019;Lon;Male;Sr;Mechanical Systems Engineer
Bytecard;Twinder;$7364.31;Indonesia;0.87;6/27/2016;Auguste;Female;Jr;Food Chemist
Vagram;Dabfeed;$6665.94;Peru;0.4.8;1/25/2019;Clementius;Male;II;Help Desk Operator
Prodder;Izio;$7725.98;China;09.03.2005;9/25/2018;Imogene;Female;Sr;Clinical Specialist
Latlux;Babbleset;$6264.49;Brazil;09.02.2003;10/13/2016;Bellina;Female;IV;Social Worker
Keylex;Agimba;$6779.92;China;04.sty;09.04.2022;Jeana;Female;III;Financial Advisor
Duobam;Feedfire;$7721.42;Indonesia;0.8.1;01.09.2018;Nelia;Female;III;Geological Engineer
Konklux;Twitterworks;$7331.81;South Korea;07.maj;2/14/2022;Rockwell;Male;III;Clinical Specialist
Bamity;Kwideo;$6730.91;Sweden;04.03.2004;8/24/2015;Bordy;Male;Jr;Information Systems Manager
Viva;Realblab;$6250.78;China;09.lip;11/17/2018;Way;Male;Jr;Administrative Officer
Alpha;Skiba;$9099.03;Poland;0.71;3/17/2018;Lennie;Male;II;Human Resources Manager
Greenlam;Eamia;$9653.57;Philippines;0.3.4;7/27/2018;Gregorio;Male;IV;Financial Analyst
Vagram;Kanoodle;$9935.46;Japan;kwi.13;12/14/2021;Mei;Female;II;Staff Scientist
Kanlam;Livepath;$6382.98;Poland;maj.67;1/31/2015;Evan;Male;Jr;Accounting Assistant II
Stronghold;Tazzy;$9570.68;Thailand;0.9.2;3/28/2016;Joannes;Female;II;Environmental Tech
Tres-Zap;Roodel;$8422.26;Saint Kitts and Nevis;mar.90;06.07.2019;Siffre;Male;III;Staff Accountant III
Tempsoft;Centidel;$8991.24;Thailand;03.09.2004;01.07.2019;Filip;Male;IV;Database Administrator I
Stim;Bubbletube;$6547.94;Poland;lip.96;1/20/2017;Franky;Female;III;Speech Pathologist
Fix San;Brightbean;$7220.52;Indonesia;0.8.3;7/22/2016;Ilyse;Female;III;Senior Cost Accountant
Biodex;Browsedrive;$8049.96;Indonesia;sie.21;01.12.2021;Travis;Male;IV;Web Developer I
Duobam;Edgeblab;$6109.93;Poland;03.01.2001;11/18/2017;Neel;Male;IV;Administrative Officer
Domainer;Yoveo;$7762.61;Portugal;lut.47;4/21/2015;Herman;Male;II;Compensation Analyst
Sonsing;Pixoboo;$9877.34;Canada;01.lut;4/30/2019;Derrick;Male;II;Senior Sales Associate
Holdlamis;Reallinks;$7451.31;Poland;0.7.4;1/14/2020;Kristal;Female;III;Accountant IV
Domainer;Mycat;$8925.16;Slovenia;01.03.2006;2/23/2016;Andrus;Male;IV;Editor
Matsoft;Dabvine;$7660.40;Syria;0.74;11/30/2015;Sigvard;Male;III;Teacher
Y-Solowarm;Trunyx;$7940.24;Thailand;0.28;11/23/2021;Murdock;Male;III;Junior Executive
Quo Lux;Jabbersphere;$9273.76;Vietnam;0.9.7;5/14/2022;Nelson;Male;II;VP Quality Control
Cookley;Yodo;$9213.21;China;02.07.2000;02.03.2015;Arman;Male;Jr;Budget/Accounting Analyst IV
